,Network,Network2,Network3,Basic Linear,Basic Exp,Basic Log,Basic Qua,G&R,True Answer
0,523,516,495,612,857,870,798,844.0,21.0
1,502,519,552,577,876,427,846,842.0,
2,510,528,523,580,541,827,842,837.0,
3,497,545,519,582,951,891,854,848.0,
4,535,506,550,592,817,836,813,860.0,
5,528,522,508,580,801,898,851,822.0,
6,520,522,509,560,927,926,833,813.0,
7,509,556,524,547,935,919,870,831.0,
8,536,516,520,557,985,569,846,867.0,
9,514,501,527,561,607,896,848,853.0,
10,545,517,473,589,933,894,826,824.0,
11,546,501,532,554,975,886,845,870.0,
12,506,524,495,569,667,899,845,851.0,
13,533,493,504,556,981,870,819,857.0,
14,504,533,523,551,647,945,816,877.0,
15,519,506,528,570,970,722,850,832.0,
16,510,514,555,582,779,822,869,847.0,
17,513,504,527,574,1024,957,847,854.0,
18,518,516,518,569,940,489,859,869.0,
19,544,495,534,597,975,808,824,854.0,
20,551,502,535,570,747,933,841,864.0,
21,537,528,514,540,997,912,821,866.0,
22,537,518,507,595,961,955,834,830.0,
23,520,499,528,539,757,877,843,899.0,
24,509,513,489,573,863,898,864,889.0,
25,537,507,512,580,914,549,850,851.0,
26,488,539,550,571,887,598,805,840.0,
27,533,551,540,568,972,685,858,869.0,
28,541,499,505,572,981,872,836,826.0,
29,534,541,529,566,829,836,860,864.0,
30,504,511,505,603,936,919,808,843.0,
31,505,536,527,574,522,933,793,840.0,
32,545,500,537,569,1009,795,807,839.0,
33,518,497,523,558,909,881,829,849.0,
34,481,475,524,566,916,969,852,887.0,
35,519,509,533,564,984,871,826,862.0,
36,513,510,526,585,858,924,834,857.0,
37,511,525,535,578,762,951,836,826.0,
38,539,533,538,555,896,909,842,855.0,
39,539,510,527,558,959,904,857,853.0,
40,536,513,500,594,729,772,808,851.0,
41,539,520,535,594,858,729,807,840.0,
42,504,513,544,558,990,821,870,849.0,
43,515,490,511,586,833,835,841,864.0,
44,488,513,513,557,874,503,849,815.0,
45,540,525,542,567,1007,550,861,809.0,
46,489,512,535,611,1025,596,845,866.0,
47,492,511,522,578,1013,894,817,849.0,
48,498,548,546,570,840,918,851,836.0,
49,507,541,556,556,921,589,833,881.0,
50,512,527,511,591,726,894,812,889.0,
51,520,507,566,566,886,920,819,876.0,
52,531,526,550,602,989,919,837,833.0,
53,537,532,487,575,979,953,825,864.0,
54,535,546,525,551,523,957,826,844.0,
55,552,539,561,546,996,915,817,822.0,
56,519,529,539,610,946,977,854,851.0,
57,538,503,503,557,649,906,881,864.0,
58,509,500,551,578,790,881,821,882.0,
59,524,512,533,552,997,951,854,861.0,
60,503,516,508,586,1003,934,848,836.0,
61,506,533,521,610,859,983,854,856.0,
62,506,505,550,600,989,972,817,844.0,
63,513,516,527,543,880,922,845,883.0,
64,509,516,521,585,928,663,839,875.0,
65,545,527,518,558,986,972,847,844.0,
66,498,543,530,590,982,882,848,866.0,
67,527,536,505,554,975,735,813,825.0,
68,537,533,524,598,784,777,854,875.0,
69,557,519,531,564,810,929,846,885.0,
70,535,520,523,578,849,666,831,840.0,
71,529,550,511,611,773,955,837,896.0,
72,546,513,520,556,1015,505,855,919.0,
73,537,526,482,563,970,924,822,831.0,
74,510,530,479,566,767,934,820,882.0,
75,497,531,519,574,773,889,836,838.0,
76,534,526,540,570,943,886,863,858.0,
77,499,528,525,582,781,813,860,844.0,
78,510,501,527,587,846,497,858,830.0,
79,525,525,502,553,836,940,820,845.0,
80,527,514,538,582,740,885,832,861.0,
81,514,504,548,580,856,989,872,886.0,
82,518,535,529,579,999,987,889,838.0,
83,541,537,536,605,956,884,815,881.0,
84,530,525,516,590,905,521,824,862.0,
85,511,526,532,610,614,642,804,861.0,
86,477,500,503,569,1019,1002,840,813.0,
87,562,519,516,579,836,918,833,870.0,
88,500,529,497,553,886,946,830,856.0,
89,499,519,516,552,933,794,822,855.0,
90,533,484,519,604,1008,905,827,830.0,
91,534,538,532,578,882,860,835,851.0,
92,510,515,525,598,647,806,857,834.0,
93,521,529,491,558,868,979,827,885.0,
94,501,491,524,557,885,991,837,846.0,
95,528,527,509,583,967,951,826,846.0,
96,530,508,543,577,1003,956,868,860.0,
97,519,534,533,570,1010,892,847,832.0,
98,538,536,528,552,815,901,808,854.0,
99,524,480,517,544,1001,937,809,839.0,
